没戏	没辙	0.11384465
只管	尽管	-0.013708804
GDP	生产力	oov
包袱	段子	0.33850938
由此	通过	0.3001842
日期	时间	0.60343754
爱面子	好高骛远	0.60124844
严厉	严谨	0.5439173
一方面	一边	0.4218828
托福	GRE	oov
亏	幸亏	0.28678387
蹩脚	差强人意	0.2870941
容易	顺利	0.2778421
悲喜	大悲大喜	0.26762837
老气	土气	0.62089604
狭隘	狭窄	0.5744525
抄袭	克隆	0.073194094
害臊	腼腆	0.46712655
幻境	红楼梦	0.28989357
依稀	清晰	0.31075987
权限	权力	0.6267748
伟大	壮烈	0.24422923
娇艳	幽美	0.28279293
理解	理会	0.25660586
酣睡	打鼾	0.4387409
自然	环境	0.41057348
振兴	建设	0.29958126
节日	假日	0.5645157
的哥	司机	-0.056167077
几乎	差点儿	-0.085716136
江湖	红尘	0.40010568
路子	后门	0.042624906
牛脾气	我行我素	0.19460014
物品	物质	0.5329617
塞车	拥挤	0.58944184
面	首	0.07646582
冷僻	晦涩	0.6369242
免费	便宜	0.26436132
发票	账单	0.5715589
回收站	垃圾篓	oov
典型	代表	0.28188214
必须	必需	0.7414786
出神	发楞	oov
琢磨	镂刻	0.17499797
身姿	身手	0.5146059
质量	重量	0.61378735
事变	后院起火	0.08687909
大小	多少	0.3259526
信物	证件	0.19348834
牺牲	粉身碎骨	0.33205214
豆蔻年华	黄金时代	0.056254685
血液	红细胞	0.6121303
硅谷	中关村	0.4393372
天赋	技能	0.48548645
酷	爽	0.311044
旅客	驴友	0.14862332
隆重	重要	0.26366398
候选人	备胎	-0.03388098
平凡	平庸	0.50160885
了不得	好	0.23460908
鸣谢	酬答	0.2835858
线路	行程	0.25382048
多角度	多元化	0.2994654
要面子	虚荣心	0.18094853
许可证	执照	0.609929
是非	方圆	0.028377393
崛起	凸起	-0.003967479
工作日	开放日	0.34801787
大	高	0.32001376
吸引力	地磁力	oov
右翼	左派	0.5565398
和谐	平安	0.1735344
商标	符号	0.3532641
违纪	贪污	0.53228176
环境	生态	0.5493118
实践	进行	0.30010635
买卖	营销	0.3480913
合理	合理性	0.5314928
辛勤	夜以继日	0.37288958
手续	过程	0.31788245
渣	废品	0.36283803
高峰	山巅	0.12603459
收费	缴纳	0.3588538
享受	大快朵颐	0.11555169
怯懦	胆小鬼	0.48390394
杂事	闲事	0.33621556
言语	语言	0.50271404
借口	理由	0.60856026
与	以及	0.5788317
怯弱	狗熊	0.33157077
惠顾	照顾	0.18548253
迷人	气质	0.592753
果粉	米粉	0.16704723
榜样	样子	0.22801146
愚钝	大智若愚	0.5557855
打假	扫黄	0.2879935
均衡	全面	0.33706042
制约	收敛	0.23018128
经营者	纳税人	0.29211253
瘦弱	苗条	0.73009783
前途	道路	0.077050686
遛弯	走路	oov
爱心	慈善	0.5427847
光盘	硬盘	0.67429984
一体化	集成化	0.21274999
销魂	陶醉	0.26121974
光荣	流芳百世	0.109553054
观后感	影评	0.17322466
恼怒	愤慨	0.69397837
帮助	赞助	0.23190889
拥戴	崇拜	0.3667271
扯淡	闲聊	0.19331378
旅程	旅行	0.5329237
男孩	小伙子	0.5973121
见解	意见	0.6762421
穷苦	贫穷	0.6021705
生命	性命	0.49766427
滚蛋	滚开	0.35659772
维他命	维生素	0.69460595
多元化	年轻化	0.5113054
宝贵	金子	0.044312336
结构	系统	0.50876755
玩偶	工具	0.3353175
丧失	失独	0.048486874
肚量	肚子	0.116856344
娇气	公主	0.2201927
寒暑假	黄金周	0.37770873
笑料	活宝	0.08304657
百货	商场	0.5602497
信息化	智能化	0.44738215
茶道	茶叶	0.27855244
罪孽	犯人	0.34807482
感冒药	退烧药	0.423285
难点	问题	0.44184184
同事	朋友	0.6471089
名字	姓氏	0.6777766
网站	网页	0.76112384
名誉	名气	0.2283344
七情六欲	欲望	0.21491434
审理	问讯	0.3355114
工具	器具	0.6022967
意思	意义	0.518054
优惠	降价	0.41194117
伴随	陪伴	0.22277734
尘垢	污秽	0.36654288
猫腻	阴谋诡计	0.2535343
吃醋	争风吃醋	0.49461254
软着陆	经济	-0.017015798
生产力	创新	0.4810781
上市	盈利	0.38995638
泼妇	女强人	0.35571975
载体	书本	0.30246377
地址	小区	0.2271215
价钱	票房	0.31878018
表彰	进步	0.20195961
理论	结论	0.5291223
烦闷	失眠	0.36927232
亲人	敌人	0.31516877
跳槽	移动	0.13454327
饮酒	喝茶	0.5743719
财运	桃花运	0.36523664
女权	女性	0.32133523
一般	差	0.3293771
赌局	扑克牌	0.3183426
宋	明	0.24522336
雾霾	阴天	oov
程序	指令	0.5076479
关键字	关键	0.28437328
松驰	疲软	0.20237479
平等	平均	0.11256262
经营	张罗	0.14527543
客套	礼貌	-0.027922433
利用	使用	0.60384953
审查	自纠自查	oov
炖	焖	0.79156214
喜欢	崇敬	0.3344298
暗号	密码	0.5223093
规律	原理	0.52353764
轻率	鲁莽	0.72957695
手法	方法	0.6158327
准则	规则	0.5949707
迂腐	墨守成规	0.5304462
闯祸	惹是生非	0.6653529
清晰	一清二楚	0.043484956
姐妹	闺蜜	0.4355501
扎实	脚踏实地	0.3233559
事物	东西	0.54464835
睡	寐	0.22536218
忌妒	妒嫉	0.71854967
俱乐部	富人	0.11956068
味道	鼻子	0.33841017
绩点	老师	0.078342795
关心	放任	0.34812218
空间	世界	0.3521303
僻静	冷静	0.2087694
字符	程序	0.47362888
裁判	足球	0.22452301
股票	银行	0.4663397
红颜	面容	0.27314538
著名	著作	0.25394213
可能性	可靠性	0.37977934
占有	争取	0.22884488
合肥	巴黎	0.27166453
热线	焦点	0.1542869
影响力	破坏力	0.36992913
温度	湿度	0.7489094
痛苦	忍辱负重	0.26183134
偶遇	艳遇	0.4043144
公众	媒体	0.37715796
姑娘	青春	0.15518452
多媒体	设备	0.328338
韩	日	0.005665645
钱	利	0.025043413
细心	三心二意	0.044053055
博物馆	剧院	0.40168256
诵读	歌唱	0.2933634
阳光	雨露	0.13000104
竞争	考试	0.17574367
消灭	灭菌	0.1386505
饭局	交际	0.12379852
媚俗	高雅	0.37600613
密码	账号	0.38455176
夫人	孩子	0.28606716
简化	优化	0.6240157
侵害	性侵	0.50602674
故事	剧情	0.7462435
调整	整合	0.5358939
亲密	缠绵	0.29353848
创新	发明	0.23995167
带头	敢为人先	-0.01115926
公约	规章	0.47697562
高大上	超凡脱俗	oov
解闷	排遣	0.4800177
放肆	大胆	0.39549565
合同	协议	0.51656985
私语	嘀咕	0.36193252
大概	差不多	0.5084684
比如	譬如	0.64559186
友善	清新	0.38040334
胆小鬼	兔子	0.28726268
繁荣	泡沫	0.24586341
智力	想象	0.33793455
茶馆	企业	0.1146016
消极	四大皆空	-0.09902987
爱怜	同病相怜	0.3598704
激励	缅怀	0.41519696
灌输	讲解	0.4264441
车辆	行人	0.3884843
偏见	认知	0.53308964
北京市	成都市	0.6551542
水果	西红柿	0.57131135
艺术家	地理学家	0.43515497
干涉	管理	0.2619503
管理	托管	0.47917846
书籍	图书馆	0.28466272
框架	组织	0.2969032
炮兵	海军	0.50682104
学习	上课	0.36986184
图书馆	文化宫	0.29101098
欲望	情欲	0.620319
独立	啃老	oov
同学	同事	0.67079794
语文	数学	0.4842127
低贱	崇高	0.48967826
海域	渤海湾	0.38882267
奖赏	惩罚	0.54005617
名称	外号	0.30942702
霸气	气场	0.49361455
数据库	信息	0.5230828
波涛	海水	0.30342263
唱	颂	0.19860241
鬼话	谎言	0.10408046
顺应	附和	0.37705916
较真儿	死板	oov
乐观	阳光	0.22435287
羞辱	辱	0.4535512
赋予	给予	0.5978925
伪善	虚伪	0.6270133
在行	熟练	oov
怪异	奇怪	0.71016145
谦卑	谦逊	0.7315922
反应	反响	0.4747144
过时	落伍	0.68614256
金钱	钱财	0.7034031
种	栽	0.09806366
对话框	窗口	0.5296595
弥补	补偿	0.4736371
财力	精力	0.48314998
功夫	素养	0.2085827
竞争力	鉴赏力	0.19473839
比赛	团队	0.24897447
企业家	作曲家	0.47595114
素菜	牛肉	0.5793174
报警	报告	0.27582192
残疾	死亡	0.2673273
指导	斥责	0.23606992
利润	成本	0.6132806
思想	智力	0.4048774
配合	违抗	0.0818767
电话	邮件	0.5843057
公司	代销店	oov
苹果	香蕉	0.4917481
盈利	亏损	0.67542076
公益	善心	0.12447013
总理	主席	0.545861
医生	护士	0.6985593
疼爱	溺爱	0.8439192
新闻界	舆论界	0.55794156
眺望	展望	0.34604755
发怒	恼羞成怒	0.5911114
执着	倔强	0.54495835
牵强	勉强	0.19582975
散伙	离别	0.168545
支柱	骨干	0.36222002
慰劳	犒赏	0.70309365
心态	心境	0.6285907
走神	愣	0.36384764
诀窍	秘籍	0.35248613
成果	果实	0.21983266
恼	怒	0.3982651
犹豫	踟蹰不前	oov
作用	功能	0.5658792
怜爱	爱怜	0.4484763
化肥	化学肥料	0.6388412
物流	顺风	0.10627226
皮肤	眼睛	0.69525254
印象	大脑	0.24102812
阶层	皇室	0.34044677
新鲜	空气	0.2976992
法庭	律师	0.40641233
文章	理论	0.4107068
